Standard time,Weekend,Floating holiday,Easter,Births
1977,1,0,0,208
1977.0027378508,1,0,0,241
1977.0054757016,0,0,0,274
1977.0082135524,0,0,0,256
1977.0109514032,0,0,0,294
1977.0136892539,0,0,0,281
1977.0164271047,0,0,0,251
1977.0191649555,1,0,0,230
1977.0219028063,1,0,0,240
1977.0246406571,0,0,0,249
1977.0273785079,0,0,0,272
1977.0301163587,0,0,0,270
1977.0328542095,0,0,0,281
1977.0355920602,0,0,0,295
1977.038329911,1,0,0,213
1977.0410677618,1,0,0,205
1977.0438056126,0,0,0,263
1977.0465434634,0,0,0,270
1977.0492813142,0,0,0,266
1977.052019165,0,0,0,312
1977.0547570158,0,0,0,294
1977.0574948665,1,0,0,243
1977.0602327173,1,0,0,187
1977.0629705681,0,0,0,284
1977.0657084189,0,0,0,274
1977.0684462697,0,0,0,311
1977.0711841205,0,0,0,270
1977.0739219713,0,0,0,264
1977.076659822,1,0,0,220
1977.0793976728,1,0,0,219
1977.0821355236,0,0,0,263
1977.0848733744,0,0,0,271
1977.0876112252,0,0,0,305
1977.090349076,0,0,0,283
1977.0930869268,0,0,0,269
1977.0958247776,1,0,0,229
1977.0985626283,1,0,0,222
1977.1013004791,0,0,0,281
1977.1040383299,0,0,0,277
1977.1067761807,0,0,0,265
1977.1095140315,0,0,0,282
1977.1122518823,0,0,0,271
1977.1149897331,1,0,0,242
1977.1177275839,1,0,0,212
1977.1204654346,0,0,0,268
1977.1232032854,0,0,0,279
1977.1259411362,0,0,0,272
1977.128678987,0,0,0,252
1977.1314168378,0,0,0,294
1977.1341546886,1,0,0,235
1977.1368925394,1,0,0,202
1977.1396303902,0,0,0,268
1977.1423682409,0,0,0,295
1977.1451060917,0,0,0,314
1977.1478439425,0,0,0,279
1977.1505817933,0,0,0,314
1977.1533196441,1,0,0,239
1977.1560574949,1,0,0,236
1977.1587953457,0,0,0,290
1977.1615331964,0,0,0,307
1977.1642710472,0,0,0,303
1977.167008898,0,0,0,300
1977.1697467488,0,0,0,275
1977.1724845996,1,0,0,253
1977.1752224504,1,0,0,204
1977.1779603012,0,0,0,294
1977.180698152,0,0,0,305
1977.1834360027,0,0,0,318
1977.1861738535,0,0,0,281
1977.1889117043,0,0,0,295
1977.1916495551,1,0,0,251
1977.1943874059,1,0,0,226
1977.1971252567,0,0,0,286
1977.1998631075,0,0,0,309
1977.2026009583,0,0,0,319
1977.205338809,0,0,0,311
1977.2080766598,0,0,0,294
1977.2108145106,1,0,0,266
1977.2135523614,1,0,0,221
1977.2162902122,0,0,0,294
1977.219028063,0,0,0,301
1977.2217659138,0,0,0,288
1977.2245037646,0,0,0,301
1977.2272416153,0,0,0,289
1977.2299794661,1,0,0,258
1977.2327173169,1,0,0,217
1977.2354551677,0,0,0,237
1977.2381930185,0,0,0,311
1977.2409308693,0,0,0,260
1977.2436687201,0,0,0,308
1977.2464065709,0,0,0,316
1977.2491444216,1,0,0,258
1977.2518822724,1,0,0,229
1977.2546201232,0,0,0,290
1977.257357974,0,0,0,326
1977.2600958248,0,0,0,313
1977.2628336756,0,0,0,302
1977.2655715264,0,0,1,270
1977.2683093771,1,0,1,249
1977.2710472279,1,0,1,194
1977.2737850787,0,0,1,253
1977.2765229295,0,0,0,314
1977.2792607803,0,0,0,298
1977.2819986311,0,0,0,343
1977.2847364819,0,0,0,319
1977.2874743327,1,0,0,244
1977.2902121834,1,0,0,235
1977.2929500342,0,0,0,288
1977.295687885,0,0,0,347
1977.2984257358,0,0,0,285
1977.3011635866,0,0,0,300
1977.3039014374,0,0,0,285
1977.3066392882,1,0,0,231
1977.309377139,1,0,0,240
1977.3121149897,0,0,0,333
1977.3148528405,0,0,0,284
1977.3175906913,0,0,0,304
1977.3203285421,0,0,0,324
1977.3230663929,0,0,0,255
1977.3258042437,1,0,0,248
1977.3285420945,1,0,0,261
1977.3312799453,0,0,0,311
1977.334017796,0,0,0,299
1977.3367556468,0,0,0,304
1977.3394934976,0,0,0,319
1977.3422313484,0,0,0,321
1977.3449691992,1,0,0,245
1977.34770705,1,0,0,188
1977.3504449008,0,0,0,302
1977.3531827515,0,0,0,316
1977.3559206023,0,0,0,316
1977.3586584531,0,0,0,311
1977.3613963039,0,0,0,280
1977.3641341547,1,0,0,199
1977.3668720055,1,0,0,225
1977.3696098563,0,0,0,320
1977.3723477071,0,0,0,294
1977.3750855578,0,0,0,328
1977.3778234086,0,0,0,279
1977.3805612594,0,0,0,309
1977.3832991102,1,0,0,255
1977.386036961,1,0,0,230
1977.3887748118,0,1,0,264
1977.3915126626,0,0,0,292
1977.3942505134,0,0,0,322
1977.3969883641,0,0,0,302
1977.3997262149,0,0,0,312
1977.4024640657,1,0,0,211
1977.4052019165,1,0,0,222
1977.4079397673,0,0,0,293
1977.4106776181,0,0,0,253
1977.4134154689,0,0,0,307
1977.4161533197,0,0,0,271
1977.4188911704,0,0,0,314
1977.4216290212,1,0,0,217
1977.424366872,1,0,0,227
1977.4271047228,0,0,0,293
1977.4298425736,0,0,0,293
1977.4325804244,0,0,0,281
1977.4353182752,0,0,0,285
1977.438056126,0,0,0,286
1977.4407939767,1,0,0,226
1977.4435318275,1,0,0,233
1977.4462696783,0,0,0,279
1977.4490075291,0,0,0,305
1977.4517453799,0,0,0,269
1977.4544832307,0,0,0,276
1977.4572210815,0,0,0,298
1977.4599589322,1,0,0,205
1977.462696783,1,0,0,217
1977.4654346338,0,0,0,264
1977.4681724846,0,0,0,295
1977.4709103354,0,0,0,346
1977.4736481862,0,0,0,333
1977.476386037,0,0,0,219
1977.4791238878,1,0,0,231
1977.4818617385,1,0,0,200
1977.4845995893,0,0,0,265
1977.4873374401,0,0,0,294
1977.4900752909,0,0,0,307
1977.4928131417,0,0,0,327
1977.4955509925,0,0,0,298
1977.4982888433,1,0,0,239
1977.5010266941,1,0,0,212
1977.5037645448,0,0,0,263
1977.5065023956,0,0,0,292
1977.5092402464,0,0,0,266
1977.5119780972,0,0,0,298
1977.514715948,0,0,0,288
1977.5174537988,1,0,0,237
1977.5201916496,1,0,0,239
1977.5229295004,0,0,0,260
1977.5256673511,0,0,0,285
1977.5284052019,0,0,0,279
1977.5311430527,0,0,0,297
1977.5338809035,0,0,0,306
1977.5366187543,1,0,0,220
1977.5393566051,1,0,0,219
1977.5420944559,0,0,0,256
1977.5448323066,0,0,0,304
1977.5475701574,0,0,0,303
1977.5503080082,0,0,0,250
1977.553045859,0,0,0,280
1977.5557837098,1,0,0,219
1977.5585215606,1,0,0,209
1977.5612594114,0,0,0,269
1977.5639972622,0,0,0,277
1977.5667351129,0,0,0,308
1977.5694729637,0,0,0,274
1977.5722108145,0,0,0,291
1977.5749486653,1,0,0,270
