arsenic,dist,assoc,educ,switch
2.36,16.826,0,0,1
0.71,47.322,0,0,1
2.07,20.967,0,10,0
1.15,21.486,0,12,1
1.96,32.582,1,12,1
1.1,40.874,1,14,1
1.41,47.314,1,0,1
3.9,69.518,1,9,1
2.97,80.711,1,4,1
3.24,55.146,0,10,1
3.28,52.647,1,0,1
2.52,75.072,1,0,1
3.13,29.774,1,5,1
3.94,30.596,0,0,1
3.04,34.504,0,0,1
2.91,63.804,1,0,1
3.21,73.604,1,0,1
1.35,44.62,1,0,1
1.7,67.655,1,0,1
1.8,80.66,1,7,1
1.44,52.182,0,7,1
1.43,52.182,1,7,1
2.33,50.534,1,0,1
2.83,31.422,0,10,1
1.79,33.009,1,7,1
2.54,37.871,0,0,1
2.25,48.373,1,5,1
2.42,47.309,0,0,1
2.07,54.014,0,0,1
1.62,67.785,0,8,1
2.34,81.138,1,8,1
3.49,95.46,0,10,1
3.08,93.001,1,3,1
2.13,114.418,0,16,1
1.13,131.745,1,10,1
0.93,157.629,1,10,1
3.36,151.92,1,10,1
1.49,107.691,0,10,1
0.83,105.668,0,10,1
2.06,98.779,1,0,1
1.37,105.626,1,0,1
2.8,107.691,0,0,0
0.81,107.691,0,0,0
1.48,125.317,1,3,1
1.92,107.691,1,0,0
2.74,107.691,0,10,1
2.49,107.691,1,0,1
3.95,107.691,0,0,0
2.75,107.691,0,0,1
2.91,54.57,0,0,1
0.83,54.57,0,0,1
3.67,54.57,1,5,1
2.9,54.57,0,0,1
0.78,54.57,1,10,1
3.4,54.57,1,7,1
2.67,72.541,1,0,1
2.52,3.618,1,5,0
2.48,58.167,0,0,1
4.47,72.346,0,8,1
1.52,40.318,0,0,1
1.8,67.219,0,0,1
0.51,99.013,0,0,0
0.2,111.635,1,5,0
0.64,115.913,1,0,1
0.71,127.099,1,12,1
0.41,82.574,0,0,0
0.05,80.613,0,0,0
0.16,174.812,1,0,0
0.3,139.923,0,5,0
0.35,101.147,1,9,0
