Date,"Number of daily births in Quebec, Jan. 01, 1977 to Dec. 31, 1990",Year,Year fraction,Standard time,Day of week,Weekend,Easter sunday,Easter Friday,Easter Saturday,Easter Monday,Easter,Victoria day,Labour day,Thanksgiving day,Floating holiday
1977-01-01,208,1977,0,1977,7,1,0,0,0,0,0,0,0,0,0
1977-01-02,241,1977,0.0027378508,1977.0027378508,1,1,0,0,0,0,0,0,0,0,0
1977-01-03,274,1977,0.0054757016,1977.0054757016,2,0,0,0,0,0,0,0,0,0,0
1977-01-04,256,1977,0.0082135524,1977.0082135524,3,0,0,0,0,0,0,0,0,0,0
1977-01-05,294,1977,0.0109514031,1977.0109514032,4,0,0,0,0,0,0,0,0,0,0
1977-01-06,281,1977,0.0136892539,1977.0136892539,5,0,0,0,0,0,0,0,0,0,0
1977-01-07,251,1977,0.0164271047,1977.0164271047,6,0,0,0,0,0,0,0,0,0,0
1977-01-08,230,1977,0.0191649555,1977.0191649555,7,1,0,0,0,0,0,0,0,0,0
1977-01-09,240,1977,0.0219028063,1977.0219028063,1,1,0,0,0,0,0,0,0,0,0
1977-01-10,249,1977,0.0246406571,1977.0246406571,2,0,0,0,0,0,0,0,0,0,0
1977-01-11,272,1977,0.0273785079,1977.0273785079,3,0,0,0,0,0,0,0,0,0,0
1977-01-12,270,1977,0.0301163587,1977.0301163587,4,0,0,0,0,0,0,0,0,0,0
1977-01-13,281,1977,0.0328542094,1977.0328542095,5,0,0,0,0,0,0,0,0,0,0
1977-01-14,295,1977,0.0355920602,1977.0355920602,6,0,0,0,0,0,0,0,0,0,0
1977-01-15,213,1977,0.038329911,1977.038329911,7,1,0,0,0,0,0,0,0,0,0
1977-01-16,205,1977,0.0410677618,1977.0410677618,1,1,0,0,0,0,0,0,0,0,0
1977-01-17,263,1977,0.0438056126,1977.0438056126,2,0,0,0,0,0,0,0,0,0,0
1977-01-18,270,1977,0.0465434634,1977.0465434634,3,0,0,0,0,0,0,0,0,0,0
1977-01-19,266,1977,0.0492813142,1977.0492813142,4,0,0,0,0,0,0,0,0,0,0
1977-01-20,312,1977,0.052019165,1977.052019165,5,0,0,0,0,0,0,0,0,0,0
1977-01-21,294,1977,0.0547570157,1977.0547570158,6,0,0,0,0,0,0,0,0,0,0
1977-01-22,243,1977,0.0574948665,1977.0574948665,7,1,0,0,0,0,0,0,0,0,0
1977-01-23,187,1977,0.0602327173,1977.0602327173,1,1,0,0,0,0,0,0,0,0,0
1977-01-24,284,1977,0.0629705681,1977.0629705681,2,0,0,0,0,0,0,0,0,0,0
1977-01-25,274,1977,0.0657084189,1977.0657084189,3,0,0,0,0,0,0,0,0,0,0
1977-01-26,311,1977,0.0684462697,1977.0684462697,4,0,0,0,0,0,0,0,0,0,0
1977-01-27,270,1977,0.0711841205,1977.0711841205,5,0,0,0,0,0,0,0,0,0,0
